IP Address      | Identity                                     | Gossip | TPU   | TPU-QUIC | RPC Address           | Version | Feature Set
216.18.201.138  | 3cZSHGfNdaULpFAvGbWbxpVwzXB4gHdk8NFucPNR5pgA | 8000   | 8003  | 8009     | none                  | 3.0.10  | 3604001754
67.213.113.115  | AiDoLWFKzNxSXKeZ4zym2TEPkg6F4kQ3YBA8WhANVPEq | 8000   | 8003  | 8009     | none                  | 3.0.7   | 3604001754
85.195.104.157  | 6WgdYhhGE53WrZ7ywJA15hBVkw7CRbQ8yDBBTwmBtAHN | 8001   | 9001  | 9007     | none                  | 0.712.30006| 3604001754
139.84.243.156  | noMiSMNpN3iGeX3WdF5M2KQdFUQt2RYYpfJ4dN1Ni3k  | 8100   | 8103  | 8109     | none                  | 3.0.7   | 3604001754
23.92.67.238    | cBYbGeACrgaqNNoE1zFTveRZGozE6G4q6X6ntnCshrk  | 8001   | 9001  | 9007     | none                  | 0.712.30006| 3604001754
45.139.132.199  | AWZhUiQjrjtxL8MEMWsCFbMausFQKkdTnDsFW2i411hN | 8000   | 8003  | 8009     | none                  | 3.0.10  | 3604001754
5.199.172.175   | BSVckjdW2f8kcXPGcrPPtV9kUDBZ8w8PjrrGVnxgEdwq | 12000  | 12003 | 12009    | none                  | 3.0.7   | 3604001754
37.202.198.12   | 8Yq98CFAorqAc3CN7XtMVgKLrBc78wsBvjhAbFr4sNQ5 | 18502  | 11222 | 11228    | none                  | 3.0.10  | 3604001754
37.72.171.10    | R1parD2CtxPBGPABB2m3JjuLpGgNLiJuLxyt7qvAJR3  | 8000   | 8003  | 8009     | none                  | 3.0.10  | 3604001754
64.130.41.135   | LTP1bMnfq1Z6UctyDXYHo9qcUJ6ReXm9cG2VwQcsHBt  | 8000   | 8003  | 8009     | none                  | 3.0.10  | 3604001754
162.19.112.132  | 7mF8NZJdREuM1uwYcvKffuY9QJBEoHhNp4hZ4NS2fuXW | 8000   | 8003  | 8009     | 162.19.112.132:8899   | 3.0.10  | 3604001754
102.211.135.171 | novaeuhY2JH2WHhc9KVTHDx2cyJZdXJC6faf4CtARZn  | 8001   | 9001  | 9007     | none                  | 0.713.30008| 3604001754
45.137.215.234  | 8RXYL85eGMyuUcBCMHt5owGvasySS4FYbmKTx4CqFkpe | 8000   | 8003  | 8009     | none                  | 3.0.6   | 3604001754
95.179.218.209  | 9dH6wfdJVgnDcbCUjT8rkmejAzTnGQaFarmLfvBYXANK | 8001   | 9001  | 9007     | none                  | 0.712.30006| 3604001754
169.150.228.2   | C2ocKwTTZCDpwuyZuem7hih2pkpataAx21P5KHkKboko | 8000   | 8003  | 8009     | none                  | 3.0.6   | 3604001754
64.130.40.243   | DNVZMSqeRH18Xa4MCTrb1MndNf3Npg4MEwqswo23eWkf | 8001   | 9001  | 9007     | none                  | 0.1.1   | 2404396587
